condition,layer,list_index,vocabulary_rank,token_id,token,log_probability,probability
clean,22,1,1,32261, spider,-0.0119492681697011,0.9881218671798706
clean,22,2,2,92664, spiders,-4.511949062347412,0.010977044701576233
clean,22,3,3,40046, Spider,-7.011949062347412,0.0009010506910271943
clean,22,4,4,86757,Spider,-16.51194953918457,6.744525649082789e-08
clean,22,5,5,48587,spider,-20.01194953918457,2.036670387894901e-09
clean,23,1,1,32261, spider,-0.0009282094542868435,0.9990721940994263
clean,23,2,2,92664, spiders,-7.0009284019470215,0.0009110357495956123
clean,23,3,3,40046, Spider,-11.000927925109863,1.668621007411275e-05
clean,23,4,4,86757,Spider,-20.00092887878418,2.059239889717901e-09
clean,23,5,5,48587,spider,-22.00092887878418,2.786878228189238e-10
clean,24,1,1,32261, spider,-0.0009116546134464443,0.9990887641906738
clean,24,2,2,92664, spiders,-7.000911712646484,0.0009110510000027716
clean,24,3,3,40046, Spider,-15.500911712646484,1.8537005530561146e-07
clean,24,4,4,48587,spider,-22.500911712646484,1.6903560495773462e-10
clean,24,5,5,86757,Spider,-25.500911712646484,8.415787164373079e-12
clean,25,1,1,32261, spider,-0.002476246329024434,0.9975268244743347
clean,25,2,2,92664, spiders,-6.002476215362549,0.0024726218543946743
clean,25,3,3,40046, Spider,-14.502476692199707,5.031000682720332e-07
clean,25,4,4,48587,spider,-20.00247573852539,2.0560571023509056e-09
clean,25,5,5,86757,Spider,-23.50247573852539,6.208754343983713e-11
clean,26,1,1,32261, spider,-0.00012420836719684303,0.9998757839202881
clean,26,2,2,92664, spiders,-9.000123977661133,0.00012339450768195093
clean,26,3,3,40046, Spider,-14.000123977661133,8.314256092489813e-07
clean,26,4,4,48587,spider,-19.500123977661133,3.3978464486494886e-09
clean,26,5,5,86757,Spider,-23.500123977661133,6.223373205660465e-11
clean,27,1,1,32261, spider,-4.4225667807040736e-05,0.9999557733535767
clean,27,2,2,40046, Spider,-10.500043869018555,2.7535241315490566e-05
clean,27,3,3,92664, spiders,-11.000043869018555,1.6700967535143718e-05
clean,27,4,4,48587,spider,-18.500043869018555,9.237044018561846e-09
clean,27,5,5,86757,Spider,-20.500043869018555,1.2500980250962357e-09
clean,28,1,1,32261, spider,-2.288792165927589e-05,0.9999771118164062
clean,28,2,2,40046, Spider,-11.000022888183594,1.6701318600098602e-05
clean,28,3,3,92664, spiders,-12.000022888183594,6.144071903690929e-06
clean,28,4,4,48587,spider,-17.500022888183594,2.5109416768032133e-08
clean,28,5,5,86757,Spider,-20.000022888183594,2.0611063966669008e-09
clean,29,1,1,32261, spider,-3.838465272565372e-05,0.9999616146087646
clean,29,2,2,40046, Spider,-10.750038146972656,2.1444589947350323e-05
clean,29,3,3,92664, spiders,-11.000038146972656,1.6701063941582106e-05
clean,29,4,4,48587,spider,-15.500038146972656,1.8553205904936476e-07
clean,29,5,5,86757,Spider,-20.000038146972656,2.0610750883776063e-09
clean,30,1,1,32261, spider,-0.00046659549116156995,0.9995335340499878
clean,30,2,2,92664, spiders,-8.000466346740723,0.00033530622022226453
