condition,layer,list_index,vocabulary_rank,token_id,token,log_probability,probability
clean,22,1,1,50338, Typically,-0.9126715064048767,0.4014503061771393
clean,22,2,2,34645, Usually,-1.4126715660095215,0.24349190294742584
clean,22,3,3,122919, Depends,-1.4126715660095215,0.24349190294742584
clean,22,4,4,116908,Typically,-2.9126715660095215,0.05433038994669914
clean,22,5,5,84371,Usually,-2.9126715660095215,0.05433038994669914
clean,23,1,1,122919, Depends,-0.003171654185280204,0.9968333840370178
clean,23,2,2,179306,Depends,-6.003171443939209,0.002470903331413865
clean,23,3,3,50338, Typically,-8.503171920776367,0.00020282401237636805
clean,23,4,4,34645, Usually,-8.503171920776367,0.00020282401237636805
clean,23,5,5,35303, Same,-9.003171920776367,0.0001230189809575677
clean,24,1,1,156403, Legs,-0.5391409993171692,0.583249032497406
clean,24,2,2,14897, legs,-1.2891409397125244,0.2755073606967926
clean,24,3,3,122919, Depends,-2.0391409397125244,0.13014046847820282
clean,24,4,4,201401, Fewer,-5.2891411781311035,0.005046091973781586
clean,24,5,5,8732, Many,-6.5391411781311035,0.0014457296347245574
clean,25,1,1,14897, legs,-0.00679562846198678,0.9932274222373962
clean,25,2,2,156403, Legs,-5.006795406341553,0.006692314986139536
clean,25,3,3,50917, limbs,-10.006795883178711,4.5092441723681986e-05
clean,25,4,4,125242,legs,-10.256795883178711,3.511803151923232e-05
clean,25,5,5,6172, feet,-18.00679588317871,1.5126829566725064e-08
clean,26,1,1,14897, legs,-0.029800867661833763,0.9706388115882874
clean,26,2,2,156403, Legs,-3.5298008918762207,0.02931075170636177
clean,26,3,3,125242,legs,-10.029800415039062,4.4066953705623746e-05
clean,26,4,4,50917, limbs,-12.029800415039062,5.963813691778341e-06
clean,26,5,5,6172, feet,-15.279800415039062,2.3124215431380435e-07
clean,27,1,1,14897, legs,-0.1273181438446045,0.8804535269737244
clean,27,2,2,156403, Legs,-2.1273181438446045,0.11915642768144608
clean,27,3,3,50917, limbs,-7.877318382263184,0.0003792486968450248
clean,27,4,4,125242,legs,-11.877318382263184,6.946182111278176e-06
clean,27,5,5,2420, leg,-13.127318382263184,1.99011446966324e-06
clean,28,1,1,14897, legs,-0.25307339429855347,0.7764108777046204
clean,28,2,2,156403, Legs,-1.5030734539031982,0.22244542837142944
clean,28,3,3,13038, Four,-7.878073215484619,0.00037896251888014376
clean,28,4,4,2390, four,-8.003073692321777,0.0003344331053085625
clean,28,5,5,50917, limbs,-8.503073692321777,0.00020284393394831568
clean,29,1,1,156403, Legs,-0.40637752413749695,0.6660586595535278
clean,29,2,2,14897, legs,-1.1563775539398193,0.3146238327026367
clean,29,3,3,13038, Four,-4.78137731552124,0.008384442888200283
