condition,layer,list_index,vocabulary_rank,token_id,token,log_probability,probability
clean,22,1,81,4781, usually,-39.50008010864258,7.003791186045689e-18
clean,22,2,81,11082, typically,-39.50008010864258,7.003791186045689e-18
clean,22,3,92,6816, generally,-41.50008010864258,9.478600600699203e-19
clean,22,4,94,14769, naturally,-41.75008010864258,7.381941249170098e-19
clean,22,5,98,14102, normally,-42.25008010864258,4.477373559384685e-19
clean,23,1,108,1056, when,-54.000003814697266,3.532614980179675e-24
clean,23,2,120,4781, usually,-56.000003814697266,4.780874752797706e-25
clean,23,3,122,11082, typically,-56.500003814697266,2.899747177446366e-25
clean,23,4,125,141349, proportionally,-57.000003814697266,1.7587854794914257e-25
clean,23,5,128,14102, normally,-57.250003814697266,1.3697435631611615e-25
clean,24,1,136,18661, fewer,-79.25,3.820870344979068e-35
clean,24,2,141,14897, legs,-79.875,2.0451645895225563e-35
clean,24,3,143,25253, besides,-80.5,1.094697696541931e-35
clean,24,4,147,12174, minus,-81.125,5.859494597006104e-36
clean,24,5,152,1056, when,-82.375,1.6787733175152708e-36
clean,25,1,103,14897, legs,-48.750003814697266,6.731972862603911e-22
clean,25,2,114,1056, when,-52.250003814697266,2.0328795643973482e-23
clean,25,3,118,50917, limbs,-53.000003814697266,9.602643660491617e-24
clean,25,4,121,18661, fewer,-54.125003814697266,3.1175218938787154e-24
clean,25,5,125,158179, appendages,-55.250003814697266,1.0121112038041133e-24
clean,26,1,78,14897, legs,-35.375003814697266,4.3334226757353687e-16
clean,26,2,100,1056, when,-39.125003814697266,1.0191233242025887e-17
clean,26,3,103,50917, limbs,-40.125003814697266,3.749145254788926e-18
clean,26,4,107,18661, fewer,-41.250003814697266,1.2171691812067191e-18
clean,26,5,107,32261, spider,-41.250003814697266,1.2171691812067191e-18
clean,27,1,71,14897, legs,-32.875,5.279209500244153e-15
clean,27,2,85,50917, limbs,-36.75,1.0956649767164683e-16
clean,27,3,94,1056, when,-37.75,4.030726386134531e-17
clean,27,4,100,18661, fewer,-39.125,1.0191272119514677e-17
clean,27,5,104,32261, spider,-39.5,7.004352014501e-18
clean,28,1,73,14897, legs,-34.75,8.095930321944762e-16
